year,solve_label,Cost (bn €),Curtailment (%),Electrolyser (GW),Heat pump (GW),H₂ storage (TWh),Stress score,VRES CF,Elec-for-heat (TWh),Wind drought (h)
2014,Optimal,75.1,17.5,22.6,18.3,0.8,0.4603524915236838,0.2802009242060534,73.0,77
1999,Optimal,75.6,16.2,23.5,20.3,1.5,0.4542841027010854,0.2740432928184338,75.7,60
1971,Optimal,75.7,19.0,23.1,25.9,0.9,0.4534429744865004,0.2883593107669133,78.9,58
1949,Optimal,74.8,25.1,21.7,17.5,0.7,0.4495645870291193,0.3047303627390644,78.3,102
1957,Optimal,77.6,17.4,24.4,21.2,1.6,0.4386833848957573,0.2826028752893033,79.2,56
1977,Optimal,77.7,18.5,24.5,23.6,1.6,0.4386141217724839,0.2802534066196777,79.4,57
1966,Optimal,79.4,15.6,26.7,23.8,1.5,0.4372485381971838,0.2773223051220931,79.2,57
1994,Optimal,76.1,22.4,22.9,21.2,1.0,0.4284829868415949,0.2987288393278039,76.1,81
1993,Optimal,77.7,23.6,23.1,28.4,1.8,0.424483089195393,0.2994073892198072,80.4,48
1961,Optimal,76.1,22.1,22.6,23.6,1.0,0.4207448008770185,0.3005345806901595,78.4,56
2000,Optimal,75.8,19.6,23.3,18.4,1.1,0.411113473430093,0.2819919890139727,73.0,85
2002,Optimal,75.2,21.7,22.6,22.3,0.7,0.4105088348149954,0.294683046294593,75.1,60
1988,Optimal,75.1,21.4,22.6,21.7,0.8,0.4021285262020744,0.2892181731929205,78.1,97
2022,Optimal,78.7,21.8,22.3,20.5,1.3,0.399660773254283,0.2760367985227255,73.4,105
2018,Optimal,79.8,19.0,25.7,25.7,1.2,0.3990077327915014,0.2670896036480029,72.3,54
2025,Optimal,76.5,19.3,24.2,22.5,1.5,0.3976856766340113,0.2727402294550428,73.6,69
2011,Optimal,77.5,22.8,22.6,21.1,1.4,0.3906514889197447,0.2952345763257019,75.9,58
2004,Optimal,75.9,19.7,23.2,23.8,0.9,0.3880296897630573,0.2913705470171349,77.8,65
1967,Optimal,76.5,21.0,22.9,20.8,0.8,0.3735792506580619,0.2935911573852176,76.8,59
1998,Optimal,77.4,23.1,22.4,19.6,1.8,0.3680184194626864,0.3039611370940334,78.4,69
2008,Optimal,75.9,22.2,21.7,19.3,1.2,0.3659108942239871,0.2938150434410363,73.5,126
1975,Optimal,75.0,18.5,23.1,22.2,1.5,0.3550847107699075,0.2873378931841813,75.8,53
2017,Optimal,76.9,23.6,22.5,20.6,0.9,0.3513726088233047,0.3013441082560725,75.6,42
2024,Optimal,75.0,20.8,22.6,19.0,1.0,0.3439109989374958,0.2861426488904512,67.9,50
1983,Optimal,74.8,24.7,20.5,20.0,0.9,0.335986346301764,0.3056617026668484,75.8,65
1992,Optimal,75.9,21.0,22.9,20.8,1.0,0.334835608802788,0.2955744264376037,76.6,67
1974,Optimal,75.2,21.0,21.9,17.0,1.1,0.3272229411639835,0.2936857699854632,78.1,52
1989,Optimal,74.1,20.1,22.0,18.5,1.0,0.3077712547877574,0.2900629256278381,74.2,69
1990,Optimal,74.8,23.2,23.4,19.1,0.9,0.2972207824660137,0.3030306747068383,75.0,77
2007,Optimal,75.5,22.3,22.7,16.7,1.0,0.2600293686327971,0.2997860604646759,74.0,58
2023,Optimal,76.2,19.5,24.0,19.8,2.0,0.2420378972743479,0.2850153927097058,71.1,70
2015,Optimal,76.4,22.5,24.3,17.5,2.0,0.2093541969572769,0.3020742733522603,72.2,54
2020,Optimal,73.9,23.7,21.2,14.5,0.8,0.1549412775081398,0.2958712940939632,71.3,63
2019,Optimal,73.5,23.5,21.4,17.1,0.8,0.1323671557782114,0.3009878987115312,70.6,46
