x,y,color_value,n_years,years,color_metric
0.2801208680168493,78.12278458747386,21.58262185423286,1,1951,electrolyser_total_mw
0.2802534066196815,79.38372547848603,24.526173792804638,1,1977,electrolyser_total_mw
0.27969880451733037,79.92056389789593,23.84631485374587,3,"1973, 1984, 1997",electrolyser_total_mw
0.2819730827221366,83.0354526550363,25.116575658444905,1,1978,electrolyser_total_mw
0.27939551384093897,84.1514586594252,24.248171531540116,2,"1947, 1954",electrolyser_total_mw
0.2797773376432232,84.96663892393258,23.293945227609644,1,1980,electrolyser_total_mw
0.2805504111198068,85.84946598364837,24.20828456618805,1,1987,electrolyser_total_mw
0.28501539270979,71.14519321539235,23.98903304385824,1,2023,electrolyser_total_mw
0.2839595427405337,77.43664297682905,22.476510992282282,1,2012,electrolyser_total_mw
0.2842038148631265,79.19514194685391,24.82483168789309,2,"1948, 1957",electrolyser_total_mw
0.2825688620167839,80.23606226435905,22.7840569047238,2,"1944, 1991",electrolyser_total_mw
0.282480929158645,83.29609659242644,23.44148627267584,1,1970,electrolyser_total_mw
0.2840476915473064,86.96084091726897,22.370237849755398,1,1942,electrolyser_total_mw
0.2841258873243679,87.70979185200903,24.829289732251677,1,1941,electrolyser_total_mw
0.2861426488905569,67.85369294780578,22.560114352920678,1,2024,electrolyser_total_mw
0.2873378931833378,75.80345361145527,23.05568442821941,1,1975,electrolyser_total_mw
0.2886234815925221,78.42202368823841,23.120268713086205,2,"1953, 1988",electrolyser_total_mw
0.288773340863557,78.83679115156109,23.244974623351858,2,"1971, 1995",electrolyser_total_mw
0.287055111539922,80.55371926269848,24.12001662727915,2,"1946, 1981",electrolyser_total_mw
0.2899151554356699,81.21100369877327,25.07796724162718,1,1945,electrolyser_total_mw
0.2875522943223209,83.9685509639248,24.49110893132308,1,1962,electrolyser_total_mw
0.2873085220997101,84.54704822615008,24.303346996899204,1,1969,electrolyser_total_mw
0.2938150434407721,73.47486852464257,21.693996155604637,1,2008,electrolyser_total_mw
0.2900629256269116,74.2393912980409,21.974931498946926,1,1989,electrolyser_total_mw
0.2935911573830869,76.7721876414409,22.91272217444261,1,1967,electrolyser_total_mw
0.2913705470178742,77.82674357148375,23.165439063827783,1,2004,electrolyser_total_mw
0.2936857699859111,78.10872207028083,21.948124299817735,1,1974,electrolyser_total_mw
0.2958712940932733,71.25910694090223,21.220950510424,1,2020,electrolyser_total_mw
0.2946830462948457,75.12674678959368,22.63897638180645,1,2002,electrolyser_total_mw
0.2952345763053726,75.90171927256853,22.586537413520244,1,2011,electrolyser_total_mw
0.2955744264371152,76.63963497204149,22.865073947351544,1,1992,electrolyser_total_mw
0.29475338062972084,79.37303879526263,22.977499390912186,2,"1943, 1950",electrolyser_total_mw
0.3009878987110459,70.63817907700232,21.42592983028999,1,2019,electrolyser_total_mw
0.2997860604652306,74.00649008377984,22.69786553304315,1,2007,electrolyser_total_mw
0.3000364737913076,75.84226072329201,22.710985289965528,2,"1994, 2017",electrolyser_total_mw
0.3005345806892266,78.35153376344613,22.56585760337464,1,1961,electrolyser_total_mw
0.2994073892182293,80.38024869491514,23.143055576563377,1,1993,electrolyser_total_mw
0.3006630381279372,81.69026693829441,22.212892990659395,1,1986,electrolyser_total_mw
0.2980353916174035,82.76988405980836,22.148885637714848,1,1979,electrolyser_total_mw
0.2992476422299521,84.587841676648,23.911873073709167,1,1965,electrolyser_total_mw
0.2996914406620951,90.17834919922404,22.438185968626733,1,1940,electrolyser_total_mw
0.3020742733520198,72.19112679916728,24.28299375713504,1,2015,electrolyser_total_mw
0.3030306747077313,74.97731113984734,23.4227151394112,1,1990,electrolyser_total_mw
0.3056617026675937,75.80899762599722,20.50562266824096,1,1983,electrolyser_total_mw
0.30434574991696384,78.35327862278426,22.085054247369527,2,"1949, 1998",electrolyser_total_mw
0.3130349658932291,87.16902483851312,23.79888450305509,1,1956,electrolyser_total_mw
