x,y,color_value,n_years,years,color_metric
0.2550102838079212,84.788251395174,102.0351146616558,1,1996,cap_gen_PV ground_mw
0.2584128756625971,84.68217706543362,92.47307459384415,1,1963,cap_gen_PV ground_mw
0.2652116806330993,78.50338823561495,69.844,1,2001,cap_gen_PV ground_mw
0.267089603647564,72.30986341462832,84.26916494069555,1,2018,cap_gen_PV ground_mw
0.2680708448520506,74.41786575408952,78.38650529409101,1,2016,cap_gen_PV ground_mw
0.2673878505723261,76.95000324013883,91.06310108189885,1,2006,cap_gen_PV ground_mw
0.2663533040986157,78.27779845521677,88.68937400562372,1,1982,cap_gen_PV ground_mw
0.2690017226533311,79.98993048202422,88.8582253436619,1,1972,cap_gen_PV ground_mw
0.2694891743064448,81.16602197421255,79.6295059856105,1,1958,cap_gen_PV ground_mw
0.2727402294563436,73.64468011997474,82.62021281571373,1,2025,cap_gen_PV ground_mw
0.2725705395631265,77.17275093937582,69.844,1,2021,cap_gen_PV ground_mw
0.2705458345732511,77.49283675425906,89.5209328166242,2,"2009, 2013",cap_gen_PV ground_mw
0.2719134755877424,78.30618897233009,96.44,1,1959,cap_gen_PV ground_mw
0.271215027266423,79.81315775715623,72.87067164194069,2,"1960, 1968",cap_gen_PV ground_mw
0.2735512271720597,81.70294566748613,76.30145415391462,1,2010,cap_gen_PV ground_mw
0.272762153617588,82.473918792977,90.5081337695564,2,"1964, 1976",cap_gen_PV ground_mw
0.2733264100535141,82.83921662683929,100.62673022586554,1,1955,cap_gen_PV ground_mw
0.2760367985220965,73.39520246772311,83.4021777438806,1,2022,cap_gen_PV ground_mw
0.2740432928172779,75.66889250816395,69.844,1,1999,cap_gen_PV ground_mw
0.27443410564116766,78.18890053975214,89.81062376483474,2,"2003, 2005",cap_gen_PV ground_mw
0.2773223051205679,79.24912097379041,69.844,1,1966,cap_gen_PV ground_mw
0.2743612767039916,82.55718485157048,69.844,1,1952,cap_gen_PV ground_mw
0.2771247719196648,84.99974136802639,124.18120325430156,1,1985,cap_gen_PV ground_mw
0.28109645660977495,73.02347586293725,69.844,2,"2000, 2014",cap_gen_PV ground_mw
0.2801208680168493,78.12278458747386,109.48065002744929,1,1951,cap_gen_PV ground_mw
0.2802534066196815,79.38372547848603,79.67925635736775,1,1977,cap_gen_PV ground_mw
0.27969880451733037,79.92056389789593,81.07461981116661,3,"1973, 1984, 1997",cap_gen_PV ground_mw
0.2819730827221366,83.0354526550363,74.48513142271658,1,1978,cap_gen_PV ground_mw
0.27939551384093897,84.1514586594252,88.22541316550945,2,"1947, 1954",cap_gen_PV ground_mw
0.2797773376432232,84.96663892393258,79.8288095469145,1,1980,cap_gen_PV ground_mw
0.2805504111198068,85.84946598364837,96.19999729336952,1,1987,cap_gen_PV ground_mw
0.28501539270979,71.14519321539235,69.844,1,2023,cap_gen_PV ground_mw
0.2839595427405337,77.43664297682905,69.844,1,2012,cap_gen_PV ground_mw
0.2842038148631265,79.19514194685391,71.49199999999999,2,"1948, 1957",cap_gen_PV ground_mw
0.2825688620167839,80.23606226435905,75.17476691189736,2,"1944, 1991",cap_gen_PV ground_mw
0.282480929158645,83.29609659242644,83.23,1,1970,cap_gen_PV ground_mw
0.2840476915473064,86.96084091726897,84.59125303070644,1,1942,cap_gen_PV ground_mw
0.2841258873243679,87.70979185200903,79.53803162352378,1,1941,cap_gen_PV ground_mw
0.2861426488905569,67.85369294780578,69.844,1,2024,cap_gen_PV ground_mw
0.2873378931833378,75.80345361145527,69.844,1,1975,cap_gen_PV ground_mw
0.2886234815925221,78.42202368823841,75.39106376788325,2,"1953, 1988",cap_gen_PV ground_mw
0.288773340863557,78.83679115156109,69.844,2,"1971, 1995",cap_gen_PV ground_mw
0.287055111539922,80.55371926269848,72.51232826380686,2,"1946, 1981",cap_gen_PV ground_mw
0.2899151554356699,81.21100369877327,69.844,1,1945,cap_gen_PV ground_mw
0.2875522943223209,83.9685509639248,89.12538612116565,1,1962,cap_gen_PV ground_mw
0.2873085220997101,84.54704822615008,70.64642749322455,1,1969,cap_gen_PV ground_mw
0.2938150434407721,73.47486852464257,73.92258952116838,1,2008,cap_gen_PV ground_mw
0.2900629256269116,74.2393912980409,69.844,1,1989,cap_gen_PV ground_mw
0.2935911573830869,76.7721876414409,69.844,1,1967,cap_gen_PV ground_mw
0.2913705470178742,77.82674357148375,69.844,1,2004,cap_gen_PV ground_mw
0.2936857699859111,78.10872207028083,69.844,1,1974,cap_gen_PV ground_mw
0.2958712940932733,71.25910694090223,69.844,1,2020,cap_gen_PV ground_mw
0.2946830462948457,75.12674678959368,69.844,1,2002,cap_gen_PV ground_mw
0.2952345763053726,75.90171927256853,71.69751394885448,1,2011,cap_gen_PV ground_mw
0.2955744264371152,76.63963497204149,69.844,1,1992,cap_gen_PV ground_mw
0.29475338062972084,79.37303879526263,71.45195238295784,2,"1943, 1950",cap_gen_PV ground_mw
0.3009878987110459,70.63817907700232,69.844,1,2019,cap_gen_PV ground_mw
0.2997860604652306,74.00649008377984,69.844,1,2007,cap_gen_PV ground_mw
0.3000364737913076,75.84226072329201,69.844,2,"1994, 2017",cap_gen_PV ground_mw
0.3005345806892266,78.35153376344613,69.844,1,1961,cap_gen_PV ground_mw
0.2994073892182293,80.38024869491514,82.68093723964236,1,1993,cap_gen_PV ground_mw
0.3006630381279372,81.69026693829441,69.844,1,1986,cap_gen_PV ground_mw
0.2980353916174035,82.76988405980836,69.844,1,1979,cap_gen_PV ground_mw
0.2992476422299521,84.587841676648,69.844,1,1965,cap_gen_PV ground_mw
0.2996914406620951,90.17834919922404,88.55625053547851,1,1940,cap_gen_PV ground_mw
0.3020742733520198,72.19112679916728,69.844,1,2015,cap_gen_PV ground_mw
0.3030306747077313,74.97731113984734,69.844,1,1990,cap_gen_PV ground_mw
0.3056617026675937,75.80899762599722,69.844,1,1983,cap_gen_PV ground_mw
0.30434574991696384,78.35327862278426,76.57806425052922,2,"1949, 1998",cap_gen_PV ground_mw
0.3130349658932291,87.16902483851312,69.844,1,1956,cap_gen_PV ground_mw
