year,stress_score,primary_stress_block,primary_stress_driver,cf_vres_combined_annual,heat_demand_annual_mwh,elec_for_heat_annual_mwh,wind_drought_max_hours,dark_doldrums_hours,cold_stress_hours_cop_lt2
2004,0.38802968976339147,energy,annual_electricity_for_heat,0.2913705470178742,148622150.20264724,77826743.57148375,65,215,4760
1967,0.37357925066671155,peak,dark_doldrums,0.29359115738308694,147466460.2587652,76772187.6414409,59,236,4607
1998,0.3680184194626704,peak,cold_cop_hours,0.3039611370950367,149448455.94928113,78385460.865946,69,206,4926
2008,0.36591089422728285,persistence,wind_drought,0.29381504344077214,143671330.45184654,73474868.52464257,126,193,4895
1975,0.35508471077465736,energy,cold_cop_hours,0.2873378931833378,146490100.7966066,75803453.61145526,53,213,4976
2017,0.3513726088270524,peak,peak_heat,0.301344108255736,146208420.42767727,75632647.54571837,42,176,4791
2024,0.34391099893948024,peak,dark_doldrums,0.28614264889055696,136740659.79650158,67853692.94780578,50,355,4225
1983,0.3359863463025445,peak,dark_doldrums,0.3056617026675937,146363634.6964832,75808997.62599722,65,239,4670
1992,0.33483560880678515,peak,cold_cop_hours,0.29557442643711523,147255572.9481153,76639634.97204149,67,115,5070
1974,0.32722294116522965,energy,cold_cop_hours,0.29368576998591117,149497994.80701515,78108722.07028084,52,143,5342
1989,0.30777125479283374,energy,low_vres,0.29006292562691166,144740993.91363117,74239391.2980409,69,209,4627
1990,0.2972207824662844,persistence,dark_doldrums,0.3030306747077313,145735715.34546465,74977311.13984734,77,263,4898
2007,0.26002936863393405,persistence,cold_cop_hours,0.29978606046523065,144358298.22876716,74006490.08377984,58,200,4750
2023,0.24203789727635752,energy,low_vres,0.28501539270979,140869527.8525191,71145193.21539235,70,221,4400
2015,0.20935419696077232,persistence,cold_cop_hours,0.30207427335201986,142254668.96349323,72191126.79916728,54,178,4670
2020,0.15494127751272505,persistence,cold_cop_hours,0.2958712940932733,141042901.4552152,71259106.94090223,63,161,4625
2019,0.13236715578237498,energy,low_vres,0.3009878987110459,140303383.36165458,70638179.07700232,46,120,4441
