run_name,year,step_hr,solve_label,runtime_s,objective,peak_load_mw,total_annual_load_mwh,load_electricity_or_other_mwh,load_heat_mwh,load_high_temp_heat_mwh,load_hydrogen_mwh,load_transport_mwh,cap_gen_Biogas plant_mw,cap_gen_Natural gas_mw,cap_gen_PV ground_mw,cap_gen_nuclear_mw,cap_gen_wind_mw,cap_gen_wind offshore_mw,gen_Biogas plant_mwh,gen_Natural gas_mwh,gen_PV ground_mwh,gen_nuclear_mwh,gen_wind_mwh,gen_wind offshore_mwh,total_generation_mwh,curtailment_total_mwh,curtailment_share_pu,curtailment_wind_mwh,curtailment_wind_share,curtailment_wind_offshore_mwh,curtailment_wind_offshore_share,curtailment_PV_ground_mwh,curtailment_PV_ground_share,storage_power_PSH_mw,storage_energy_PSH_mwh,storage_power_battery_mw,storage_energy_battery_mwh,storage_power_flow_mw,storage_energy_flow_mwh,storage_power_hot_water_mw,storage_energy_hot_water_mwh,storage_power_hydrogen_storage_mw,storage_energy_hydrogen_storage_mwh,storage_power_hydrogen_storage_other_mw,storage_energy_hydrogen_storage_other_mwh,storage_power_transport_mw,storage_energy_transport_mwh,electrolyser_total_mw,heat_pump_total_mw,h2_pipeline_total_mw,chp_h2_total_mw,elec_transmission_total_mw,transmission_mean_utilisation,transmission_peak_utilisation,h2_network_abs_flow_mwh
run_1940_20260416_174339_3hr_Optimal_775s,1940,3,Optimal,775.2621196676046,80512666382.32425,83975.33950731393,497237906.1688944,172532950.4916975,161648271.54552415,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.000000000004,88556.25053547851,19843.0,36400.0,45343.0,27277943.66583243,12054799.903845351,104841043.7824697,129603751.10991947,89879513.34925382,122156390.81251717,485813442.62383795,102284838.06279303,0.24402233571236923,4530848.161011087,0.04799100531481133,97115184.12909696,0.44289910424990164,638805.7726849909,0.006056187749404816,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,30248.74875110053,278288.48851012485,9298.554680255422,985646.7961070747,22353.0,536472.0,1859.05965599804,14872.47724798432,22438.185968626738,27662.62208981458,9529.263258892444,917.4989160923334,166830.98542207453,0.7563999613292619,1.0,50153979.47259576
run_1941_20260416_175638_3hr_Optimal_713s,1941,3,Optimal,713.2164306044579,79271878926.36928,79921.29756349027,495215339.6512226,172532950.4916975,159625705.02785224,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20199.999999999996,79538.03162352378,19843.0,36400.0,45343.0,27289867.458079964,7287378.606379375,89116775.00778963,132185881.97317322,89504705.99973184,138558046.3812559,483942655.42640996,69868484.11602928,0.18051632365813258,1251453.3135329648,0.013789183268693293,68494529.5781423,0.33080742541247754,122501.22435401562,0.0013727276769406516,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,40609.98539714568,373611.86565374024,9808.204828593356,1039669.7118308957,22353.0,536472.0,1859.05965599804,14872.47724798432,24829.289732251673,25385.466480537765,10009.882084468736,917.4989160923334,164693.82630550326,0.7583410739152311,1.0,52035292.45077688
run_1942_20260416_180833_3hr_Optimal_935s,1942,3,Optimal,934.8592079393566,80499282196.31194,81443.42038197268,493818327.00862044,172532950.4916975,158228692.38525018,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,84591.25303070644,19843.0,36400.0,45343.0,27809141.00172104,11844768.611100676,102855181.31893674,131057345.06227829,82253047.72884387,126520822.33775882,482340306.06063944,85009143.04283004,0.21432414789340878,3413422.297765202,0.0398454879336803,81458153.75398017,0.39166532735529047,137566.99108465706,0.0013356958945358248,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,32854.985243428324,302265.86423954053,10502.10143736599,1113222.752360795,22353.000000000007,536472.0000000001,1859.05965599804,14872.47724798432,22370.2378497554,26626.694046012937,10111.817800647623,917.4989160923334,166168.04137040905,0.7590831203176743,1.0,52802448.43351158
run_1943_20260416_182411_3hr_Optimal_698s,1943,3,Optimal,698.1557581014931,76817123780.24129,79521.14708481656,485484505.25775284,172532950.4916975,149894870.63438255,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,69844.0,19843.0,36400.0,45343.0,26860290.3247131,6250114.66315454,84623017.02952117,130655650.78988606,90567768.75775813,135245001.63527876,474201843.2003118,85457713.46453346,0.2158603595993776,2370651.020955003,0.025507761231579284,83086969.82833277,0.3805533805761876,92.61524568943496,1.0944438945604542e-06,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,23078.43822622473,212321.63168126752,8122.856781394042,861022.8188277684,22353.0,536471.9999999999,1859.05965599804,14872.47724798432,22565.807124595492,21329.446162383512,7886.589939330806,917.4989160923334,165649.36615221604,0.7581193192767882,1.0,44473858.59919679
run_1944_20260416_183552_3hr_Optimal_1031s,1944,3,Optimal,1031.446091271937,74705408655.67813,75240.21267594778,486543320.6154441,172532950.4916975,150953685.9920738,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,80505.53382379471,19843.0,36400.0,45343.0,25869355.737127382,811536.6791703193,92266504.02053748,135216970.32807025,83872880.43731482,138945812.03325284,476983059.2354731,71621108.51572573,0.1852080185619672,1376474.8794504735,0.016146455000583447,70244186.08825746,0.3357913223339821,447.5480177929931,4.850577700732428e-06,9070.0,72560.0,17469.0,34938.0,156.0,57875.99999999999,35227.00748765377,324088.4688864146,7886.896554833133,836011.034812312,22353.0,536472.0,1859.05965599804,14872.47724798432,21555.06882118192,25642.73776512946,8538.898417078253,917.4989160923334,166413.8288708499,0.7540314280245916,1.0,49394648.13400586
run_1945_20260416_185306_3hr_Optimal_1017s,1945,3,Optimal,1016.8663400486112,77195847644.84538,76831.93187110928,487744026.30400026,172532950.4916975,152154391.68062997,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,69844.0,19843.0,36400.0,45343.0,26990112.767630868,3208160.050557908,80667902.9521043,131279779.9904754,92071424.61640054,143059159.63285217,477276540.0100212,71503086.58012488,0.1846186316311671,1950103.77774399,0.020741034644423048,69504343.18749087,0.32698154793884726,48639.61489002163,0.0006025978485098145,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,43829.24460562455,403229.05037174583,10577.37013553068,1121201.2343662519,22353.000000000004,536472.0,1859.05965599804,14872.47724798432,25077.967241627186,22808.51729974222,11441.639659176555,917.4989160923334,166492.6292152448,0.7593550330952078,1.0,59524501.76948859
run_1946_20260417_162409_3hr_Optimal_950s,1946,3,Optimal,950.2449972629547,77912228910.53905,76184.24985340332,486793058.6315803,172532950.4916975,151203424.00821,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,69844.0,19843.0,36400.0,45343.0,27109257.567308053,6783140.625761123,85186281.01491663,132694765.78454342,88083507.26066229,137413505.27184454,477270457.525036,76157220.69624522,0.19686981557542793,1065778.3469808244,0.011954984717115534,75091442.3492644,0.35336326607867174,5.31134860702262e-10,6.2349812008961526e-18,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,20665.367040265126,190121.37677043915,12222.830784120548,1295620.0631167782,22353.0,536472.0,1859.05965599804,14872.47724798432,24323.866002827097,20111.491912426398,11473.704763502064,917.4989160923334,163886.73414366992,0.7606972107045447,1.0,54846607.54207258
run_1947_20260416_191053_3hr_Optimal_616s,1947,3,Optimal,616.2730704136193,77478851931.4274,78880.93111312957,490547450.4690082,172532950.4916975,154957815.84563798,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,74621.21675996308,19843.0,36400.0,45343.0,27522632.20221278,4767279.459014236,89927902.14257802,132511719.85160014,85320091.2479339,140914777.0974253,480964402.00076437,59180361.680134565,0.15767002672541985,1195030.9058867544,0.013812971375829552,57981523.517893836,0.2915163496682717,3807.2563539709977,4.233497149578491e-05,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,30617.432286353887,281680.37703445577,9328.426071751273,988813.1636056349,22353.000000000015,536472.0000000002,1859.05965599804,14872.47724798432,24369.916938807015,25169.372103258207,9063.816145746561,917.4989160923334,164647.74307432515,0.7568454262090653,1.0,46874090.11328097
run_1948_20260416_192112_3hr_Optimal_779s,1948,3,Optimal,778.6697020493448,78660560329.49237,77219.37899345912,485285977.4059481,172532950.4916975,149696342.7825778,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,73140.0,19843.0,36400.0,45343.0,27257069.17179256,6560301.705234452,83752260.15149479,129426088.21171482,92445125.7571314,136018018.45668095,475458863.454049,71428503.7217766,0.18618438144356583,183263.4136621725,0.001978479981167701,71175677.0897757,0.3435224073882338,69563.21833874083,0.0008298938813561504,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,34660.09211831103,318872.8474884615,11220.12666158869,1189333.4261284014,22352.999999999996,536471.9999999999,1859.05965599804,14872.47724798432,25264.823012641034,24655.428964436862,11902.217103709645,917.4989160923334,166168.91480815187,0.7585397994719778,1.0,61953992.21733696
run_1949_20260416_193414_3hr_Optimal_1016s,1949,3,Optimal,1015.8579209391028,74798650569.3165,75002.00222356681,484631065.20073974,172532950.4916975,149041430.57736945,3022372.547435834,94892861.2380657,65141450.34617131,4999.0,20200.0,83312.12850105847,19843.0,36400.0,45343.0,26687285.510840327,1418275.9355192776,95238911.57754087,129578670.2421933,94593238.47522104,126094105.1264138,473610486.86772865,105913303.04003732,0.2510748481891068,5475222.690285229,0.054714768534623835,100318555.40976538,0.44307838250831283,119524.93998670769,0.0012534280589294076,9070.0,72560.0,17469.0,34938.0,156.0,57876.0,27131.93191020476,249613.77357388375,6958.813085155118,737634.1870264425,22353.0,536472.0,1859.05965599804,14872.47724798432,21728.352824317397,17467.42971201546,7072.076810516184,917.4989160923334,162910.1294626123,0.7587538983178006,1.0,42263310.76464408
