input_metric,output_metric,corr,abs_corr,n_obs
cop_winter_mean,cap_gen_PV ground_mw,-0.44885163111404697,0.44885163111404697,86
elec_for_heat_peak_mw,objective,0.44489766344351833,0.44489766344351833,86
stress_peak_block,objective,0.4425905749687233,0.4425905749687233,86
heat_demand_peak_mw,objective,0.4401123650407029,0.4401123650407029,86
cf_vres_combined_winter,gen_wind_mwh,0.43319389763305205,0.43319389763305205,86
cf_vres_combined_annual,electrolyser_total_mw,-0.43180080053213776,0.43180080053213776,86
cop_winter_mean,gen_PV ground_mwh,-0.43074667878706396,0.43074667878706396,86
cf_vres_combined_winter,gen_Natural gas_mwh,-0.4304089988956241,0.4304089988956241,86
cop_winter_mean,gen_Natural gas_mwh,-0.42920468479468427,0.42920468479468427,86
stress_energy_block,peak_load_mw,0.42890636825075673,0.42890636825075673,86
dark_doldrums_hours,gen_nuclear_mwh,0.41978832833428653,0.41978832833428653,86
stress_persistence_block,load_heat_mwh,0.4128184966986294,0.4128184966986294,86
stress_persistence_block,total_annual_load_mwh,0.4128184966986278,0.4128184966986278,86
heat_demand_peak_mw,storage_power_hot_water_mw,0.41146173246539597,0.41146173246539597,86
stress_peak_block,storage_power_hot_water_mw,0.4100209860836905,0.4100209860836905,86
elec_for_heat_peak_mw,storage_power_hot_water_mw,0.4084985865144017,0.4084985865144017,86
cop_annual_mean,objective,-0.4074721860096629,0.4074721860096629,86
cop_annual_mean,peak_load_mw,-0.4041242803176497,0.4041242803176497,86
cf_vres_combined_winter,elec_transmission_total_mw,-0.40389478727458966,0.40389478727458966,86
heat_demand_peak_mw,elec_transmission_total_mw,0.39806815738217866,0.39806815738217866,86
stress_peak_block,elec_transmission_total_mw,0.39646895638592006,0.39646895638592006,86
elec_for_heat_peak_mw,gen_Biogas plant_mwh,0.39535404640136523,0.39535404640136523,86
stress_persistence_block,objective,0.39527645135852174,0.39527645135852174,86
elec_for_heat_peak_mw,elec_transmission_total_mw,0.39479504072881433,0.39479504072881433,86
stress_peak_block,gen_Biogas plant_mwh,0.3944399428434041,0.3944399428434041,86
heat_demand_peak_mw,gen_Biogas plant_mwh,0.393397323178582,0.393397323178582,86
cf_vres_combined_winter,total_annual_load_mwh,-0.3875781934017157,0.3875781934017157,86
cf_vres_combined_winter,load_heat_mwh,-0.3875781934017152,0.3875781934017152,86
dark_doldrums_hours,gen_wind_mwh,-0.38738513360772336,0.38738513360772336,86
cf_vres_combined_annual,heat_pump_total_mw,-0.3798166116096666,0.3798166116096666,86
cf_vres_combined_winter,cap_gen_PV ground_mw,-0.3770108917404176,0.3770108917404176,86
cop_annual_mean,storage_power_hot_water_mw,-0.37657532707462377,0.37657532707462377,86
cop_annual_mean,gen_Biogas plant_mwh,-0.3744025581155943,0.3744025581155943,86
stress_energy_block,h2_pipeline_total_mw,0.3738213337699245,0.3738213337699245,86
stress_energy_block,curtailment_wind_offshore_share,-0.36925238194232224,0.36925238194232224,86
elec_for_heat_annual_mwh,cap_gen_PV ground_mw,0.369141715567439,0.369141715567439,86
