year,cf_pv_annual_mean,cf_pv_summer_mean,cf_pv_winter_mean,cf_onshore_annual_mean,cf_offshore_annual_mean,cf_onshore_DJF,cf_onshore_MAM,cf_onshore_JJA,cf_onshore_SON,cf_offshore_DJF,cf_offshore_MAM,cf_offshore_JJA,cf_offshore_SON,cf_vres_combined_annual,cf_vres_combined_winter,wind_drought_max_hours,dark_doldrums_hours,heat_demand_annual_mwh,heat_demand_peak_mw,heat_demand_winter_mean,heat_demand_summer_mean,cop_annual_mean,cop_winter_mean,cop_summer_mean,cop_min_hourly,cold_stress_hours_cop_lt2,elec_for_heat_annual_mwh,elec_for_heat_peak_mw,elec_for_heat_winter_mean,stress_vres_low,stress_elec_for_heat,stress_heat_peak,stress_elec_for_heat_peak,stress_wind_drought,stress_doldrums,stress_cold_cop,stress_energy_block,stress_peak_block,stress_persistence_block,stress_score,primary_stress_block,secondary_stress_block,primary_stress_driver
1950,0.13362962162174655,0.24219673470127687,0.05338499108496644,0.2796801666921798,0.5535335048353848,0.3655739335549845,0.23978244024773482,0.1624961881525776,0.35353816494360757,0.6672028516784566,0.4968004108864928,0.42582319431751997,0.6275835267591781,0.29430264514698146,0.3443633257966005,61,220,150447767.83112872,35430.603150168376,23808.487241256003,11242.163349709828,2.1120091719324963,1.6608804523755571,2.689490170310634,1.27749417070692,4819,79416042.7999652,25437.212446964128,14737.341134712495,0.3228336644364318,0.5179183823457482,0.8494352258850377,0.8234655187192262,0.19791666666666666,0.4069767441860465,0.45382059800664454,0.42037602339109,0.8364503723021319,0.35290466961978595,0.5365770217710026,peak,energy,peak_heat
1951,0.1356361842688142,0.23174932573084675,0.0535734597827507,0.2607360871408941,0.5182390841827367,0.4073502442120258,0.26340541169334175,0.14203240601474132,0.23304253404615782,0.678672910698941,0.564371496676359,0.4062610474068102,0.42613746932024854,0.28012086801702935,0.30438166842457054,67,225,149167680.76956144,30761.870416548947,22562.49803330024,11418.03088864956,2.1034968450797598,1.691303507981102,2.6613199457679744,1.29296832930579,5071,78122784.58747384,21060.70177594955,13593.455039742592,0.567243054034847,0.4599887910487173,0.46837219773495253,0.44803032985462604,0.2604166666666667,0.4263565891472868,0.6212624584717608,0.5136159225417821,0.4582012637947893,0.4360119047619047,0.46927636369949205,energy,peak,cold_cop_hours
1952,0.13074922549582618,0.23773351418502184,0.04713464788471046,0.25526043345285393,0.510907398463722,0.3459622390513865,0.22145531482197328,0.15454410249398462,0.3015550582703161,0.5864884936188705,0.4530596215590132,0.44423241729827245,0.5620480048207679,0.27436127670416927,0.30222896538562255,51,256,154190002.29883507,28491.225507646264,22189.875558894448,11824.335113237432,2.050609721889792,1.6950962528100484,2.592969815321922,1.32407321269275,5251,82557184.8515705,18913.108124945327,13275.79379667486,0.666504111673342,0.6586212006212031,0.28304164355494493,0.2638008629166941,0.09375,0.5465116279069767,0.7408637873754153,0.6625626561472726,0.2734212532358195,0.46037513842746397,0.465453015936852,energy,persistence,cold_cop_hours
1953,0.1410057519016909,0.23581918159530407,0.05126397864322917,0.2604301259026051,0.5366508142354341,0.3323353384914322,0.2578783885297559,0.15069952273598752,0.30283129289861077,0.5573661828570485,0.5240222619259047,0.4625969933907227,0.6037980137326308,0.28802878999224096,0.2948926292408592,110,236,149747327.26504543,30899.936109387258,23022.57052197027,11411.079739644863,2.1083848167522428,1.6728155261996425,2.6906047114882843,1.27966675246306,4883,78733598.5176826,21234.46326239624,14016.062927527053,0.4309575684259012,0.4873492987909117,0.4796411510030954,0.4629363089291345,0.7083333333333334,0.4689922480620155,0.4963455149501661,0.45915343360840644,0.4712887299661149,0.557890365448505,0.4961108430076755,persistence,peak,wind_drought
1954,0.12681050418973316,0.2056804388950773,0.0676151435091808,0.2615327974550584,0.5326159126409754,0.38786221024206563,0.1921122157392638,0.18615200579187619,0.28298421723566536,0.6349264617595547,0.40766663211400966,0.456690375166472,0.6345118888548548,0.28054615507181746,0.286711715033545,54,198,155808923.4983717,35801.152119578146,26449.833792085963,11355.359439735828,2.0772186056050916,1.573617403199671,2.658836564399799,1.25921014627578,5121,84171279.1679942,25959.577053021,17168.816705578032,0.5599136376639369,0.730922171272035,0.8796795170915968,0.8682761153961629,0.125,0.32170542635658916,0.654485049833887,0.645417904467986,0.8739778162438798,0.3670634920634921,0.628819737591786,peak,energy,peak_heat
1955,0.13075271363212043,0.2177225626108451,0.058917410932997884,0.2516842089399711,0.5103132299292469,0.38582240250875444,0.2766967240690651,0.11689006500263426,0.23000808178796955,0.623302120169498,0.5296640390941797,0.3504262315616803,0.5406465187756172,0.27332641005507463,0.26292274175525093,109,347,154611949.5428191,30511.848354402435,23444.666712733222,12056.82562293329,2.0586366661208766,1.6530076089942027,2.5782678663795595,1.29307127919011,5336,82839216.62683928,20861.905351712187,14400.486714629567,0.6843390503910562,0.6712543973921886,0.44796534012671724,0.43097675025902105,0.6979166666666666,0.8992248062015504,0.7973421926910299,0.6777967238916225,0.43947104519286917,0.7981612218530824,0.6384763303125247,persistence,energy,dark_doldrums
1956,0.12907310526103025,0.21374966659958838,0.06181580943048199,0.30720466986947564,0.6010806392958082,0.3846975933995053,0.3351121516225721,0.2408855924608821,0.2693970180299488,0.6828353700914523,0.6207513019018169,0.5531688992366328,0.5487757310989225,0.3130349658921289,0.29318080798477725,55,197,159210585.08486715,36969.15828952233,25322.609815820582,11758.935331482176,2.028938894948961,1.6091992424389432,2.593854141954111,1.23946078557876,5257,87169024.83851312,27140.757747765703,16191.497030698925,0.0,0.8652017604741522,0.9750124464777397,0.9696026813638163,0.13541666666666666,0.3178294573643411,0.7448504983388704,0.4326008802370761,0.972307563920778,0.3993655407899594,0.6014246616492712,peak,energy,peak_heat
1957,0.12651271506603884,0.22729003496005548,0.04941848680415783,0.25719189573043216,0.5434352155971034,0.35515208465608855,0.21101668966517184,0.16471512992102655,0.30048381231460997,0.6457982691927314,0.46726789441648453,0.44936373765844745,0.6143065858758594,0.2826028752893033,0.28682704962552213,56,247,150601591.7651672,29410.650285699263,21575.540283621653,11294.662726074332,2.0770916694827406,1.7261831103560124,2.6842163724639603,1.3014075884062,5188,79241251.51201363,19744.81833109994,12705.396107800794,0.5244680282509417,0.5100888647942531,0.3580853031669357,0.33514840478293734,0.14583333333333334,0.5116279069767442,0.6990033222591362,0.5172784465225975,0.3466168539749365,0.45215485418973794,0.43868338489575737,energy,persistence,cold_cop_hours
1958,0.12736910745202626,0.2267519587788978,0.052345006631532486,0.25184273639084936,0.5025695679596349,0.40975664553755564,0.24230816080408968,0.17088056031889093,0.1871553663842394,0.6291729030351876,0.5397614755054467,0.45555085319053235,0.38729227244032727,0.2694891743058439,0.3218344399151729,47,242,152696094.02897757,29874.459674313242,22864.508332868598,11859.778049533033,2.0819666202844447,1.6839048420678573,2.599497159765105,1.3207400047801,5041,81166021.97421257,20147.946059945938,13837.697875406222,0.7504701451488447,0.596306114480983,0.39594153101158786,0.36973036890751426,0.052083333333333336,0.49224806201550386,0.6013289036544851,0.6733881298149138,0.38283594995955106,0.3818867663344408,0.4793702820363019,energy,peak,low_vres
1959,0.13352183890572203,0.2207893169906754,0.05270885994548905,0.25759494985999204,0.4965792411750606,0.38567467605073597,0.23692181206099572,0.1740562911168993,0.2362796743073022,0.6189204031463362,0.4917494941026323,0.42365762332942764,0.45418826309865223,0.2719134755885117,0.30012210519547566,59,290,149370143.16691303,29920.92328468685,22488.436648348255,11380.864485848428,2.1001317847532333,1.6891451419933856,2.6854945148031426,1.29737422383139,5039,78306188.9723301,20281.064659175998,13539.097156492027,0.7086896270043255,0.46820411955325375,0.39973390146369264,0.3811498329966404,0.17708333333333334,0.6782945736434108,0.6,0.5884468732787896,0.3904418672301665,0.4851259689922481,0.48800490316706807,energy,persistence,low_vres
