year,stress_score,primary_stress_block,primary_stress_driver,cf_vres_combined_annual,heat_demand_annual_mwh,elec_for_heat_annual_mwh,wind_drought_max_hours,dark_doldrums_hours,cold_stress_hours_cop_lt2
1982,0.5863164237782654,persistence,low_vres,0.2663533040982493,149248668.32490456,78277798.45521675,111,316,4904
1969,0.5862711960924419,peak,annual_electricity_for_heat,0.2873085220984449,156190479.0981371,84547048.22615008,58,287,4911
1978,0.573472927728872,energy,cold_cop_hours,0.28197308272388416,155028362.50141463,83035452.6550363,64,265,5406
1976,0.563999719390087,energy,low_vres,0.2729597706128149,154390564.3646878,82772233.98245768,78,262,5120
1964,0.5578024422424602,energy,low_vres,0.2725645366216611,153517261.1728623,82175603.6034963,69,225,5109
1991,0.5537572941822166,peak,cold_cop_hours,0.282430246095622,151644491.8889511,80229514.71416552,79,236,5154
1948,0.5532301982852783,peak,peak_electricity_for_heat,0.2858047544395235,150134222.1582365,79149032.38169415,70,271,4818
2016,0.5398422208291601,persistence,low_vres,0.26807084488346006,144573844.74388054,74417865.7540895,102,290,4899
1960,0.5397381989652307,energy,low_vres,0.2716482848696838,151205460.98974028,79996451.60200872,58,218,5183
1995,0.5392792492901406,persistence,dark_doldrums,0.2891873709611051,149836962.87068617,78802049.1114049,114,311,4899
1980,0.5378333734154053,energy,cold_cop_hours,0.2797773376434067,157010699.9194236,84966638.9239326,64,261,5375
1943,0.5376512544496105,peak,wind_drought,0.29520411611272995,150560541.19124678,79330034.79056007,119,217,4906
1965,0.5368797792851404,peak,cold_cop_hours,0.29924764223031525,156735442.49561283,84587841.67664799,69,204,5347
1950,0.5365770217710026,peak,peak_heat,0.29430264514698146,150447767.83112872,79416042.7999652,61,220,4819
1973,0.5323457077553647,persistence,cold_cop_hours,0.28006137094237576,151383789.66267997,79943022.23903263,96,279,5205
2021,0.5106671879712217,energy,low_vres,0.2725705395652959,147906683.78095382,77172750.9393758,68,252,4858
2003,0.50610289460917,peak,low_vres,0.2741901030113227,149080478.72493765,78276926.65816371,44,276,4768
1945,0.505677359731597,peak,peak_heat,0.2899151554362147,152605238.4922197,81211003.69877325,51,214,4977
2009,0.5042516083905985,energy,low_vres,0.27073018168980667,148142852.43894202,77348558.75008959,60,255,4770
1953,0.4961108430076755,persistence,wind_drought,0.28802878999224096,149747327.26504543,78733598.5176826,110,236,4883
1986,0.4918001239855168,peak,peak_heat,0.3006630381283343,153153964.62397024,81690266.93829444,66,174,4968
1959,0.48800490316706807,energy,low_vres,0.2719134755885117,149370143.16691303,78306188.9723301,59,290,5039
1979,0.4857504234169446,peak,cold_cop_hours,0.29803539161731724,154409123.9308541,82769884.05980837,54,176,5145
2001,0.4835025596086886,energy,low_vres,0.26521168063456535,149559331.45572355,78503388.23561496,65,219,4815
1946,0.4834908590430147,energy,annual_electricity_for_heat,0.287558142716574,151665661.8711612,80542012.25385717,89,218,4882
2005,0.48020511906304214,energy,low_vres,0.2746781082715706,149046106.43548736,78100874.42134057,77,267,4831
1958,0.4793702820363019,energy,low_vres,0.2694891743058439,152696094.02897757,81166021.97421257,47,242,5041
1944,0.4719785996544452,energy,dark_doldrums,0.28270747793719003,151435584.9278437,80242609.81455258,58,292,5061
2012,0.46977619523136943,peak,peak_heat,0.28395954274242957,147835653.3422366,77436642.97682905,44,177,4723
1951,0.46927636369949205,energy,cold_cop_hours,0.28012086801702935,149167680.76956144,78122784.58747384,67,225,5071
1981,0.46669246940790104,energy,cold_cop_hours,0.28655208035330754,151926259.33420146,80565426.2715398,74,199,5002
1952,0.465453015936852,energy,cold_cop_hours,0.27436127670416927,154190002.29883507,82557184.8515705,51,256,5251
2013,0.46226139477231015,energy,low_vres,0.2703614874560047,148428499.0277935,77637114.75842853,77,283,4649
1984,0.4616280530622922,energy,dark_doldrums,0.2782116634412254,151370805.6650517,80022410.7035513,69,273,4992
2014,0.46035249152368385,peak,dark_doldrums,0.2802009242060534,143092433.60368773,73023234.07736975,77,305,4445
1999,0.4542841027010854,energy,low_vres,0.27404329281843387,146220136.09347498,75668892.50816394,60,250,4671
1971,0.45344297448650045,peak,cold_cop_hours,0.2883593107669133,149956433.50668743,78871533.19171728,58,190,5056
1949,0.44956458702911933,persistence,wind_drought,0.3047303627390644,149438686.58873233,78321096.37962252,102,250,4896
1957,0.43868338489575737,energy,cold_cop_hours,0.2826028752893033,150601591.7651672,79241251.51201363,56,247,5188
1977,0.4386141217724839,energy,cold_cop_hours,0.2802534066196777,150808536.4976917,79383725.47848603,57,265,5146
1966,0.4372485381971838,energy,low_vres,0.2773223051220931,150350587.53027266,79249120.9737904,57,194,4743
1994,0.42848298684159497,peak,peak_heat,0.2987288393278039,146747038.9131766,76051873.90086566,81,217,4943
1993,0.424483089195393,peak,peak_heat,0.2994073892198072,151753494.86065567,80380248.69491513,48,207,4865
1961,0.4207448008770185,peak,peak_heat,0.30053458069015954,149365891.55990052,78351533.76344614,56,134,4785
2000,0.411113473430093,persistence,dark_doldrums,0.28199198901397277,143052685.88917696,73023717.64850475,85,288,4399
2002,0.41050883481499545,peak,peak_heat,0.294683046294593,145399014.43590677,75126746.78959367,60,204,4710
1988,0.40212852620207445,persistence,dark_doldrums,0.2892181731929205,149022600.49994767,78110448.85879426,97,263,4885
2022,0.399660773254283,persistence,wind_drought,0.2760367985227255,143600199.27855867,73395202.46772312,105,282,4582
2018,0.3990077327915014,energy,low_vres,0.2670896036480029,141924060.5539409,72309863.41462834,54,264,4136
2025,0.39768567663401133,energy,low_vres,0.27274022945504284,143915759.20532942,73644680.11997473,69,247,4675
2011,0.39065148891974477,peak,peak_heat,0.2952345763257019,146390640.27572235,75901719.27256852,58,198,4624
2004,0.38802968976305735,energy,annual_electricity_for_heat,0.2913705470171349,148622150.20264727,77826743.57148375,65,215,4760
1967,0.3735792506580619,peak,dark_doldrums,0.2935911573852176,147466460.2587652,76772187.6414409,59,236,4607
1998,0.3680184194626864,peak,cold_cop_hours,0.3039611370940334,149448455.94928116,78385460.865946,69,206,4926
2008,0.3659108942239871,persistence,wind_drought,0.2938150434410363,143671330.45184657,73474868.52464257,126,193,4895
1975,0.35508471076990755,energy,cold_cop_hours,0.28733789318418135,146490100.7966066,75803453.61145526,53,213,4976
2017,0.35137260882330473,peak,peak_heat,0.3013441082560725,146208420.42767727,75632647.54571836,42,176,4791
2024,0.3439109989374958,peak,dark_doldrums,0.2861426488904512,136740659.79650158,67853692.94780578,50,355,4225
1983,0.335986346301764,peak,dark_doldrums,0.30566170266684844,146363634.6964832,75808997.6259972,65,239,4670
1992,0.334835608802788,peak,cold_cop_hours,0.29557442643760373,147255572.9481153,76639634.97204149,67,115,5070
1974,0.3272229411639835,energy,cold_cop_hours,0.29368576998546325,149497994.80701515,78108722.07028082,52,143,5342
1989,0.3077712547877574,energy,low_vres,0.2900629256278381,144740993.91363117,74239391.29804088,69,209,4627
1990,0.29722078246601374,persistence,dark_doldrums,0.3030306747068383,145735715.34546462,74977311.13984734,77,263,4898
2007,0.2600293686327971,persistence,cold_cop_hours,0.2997860604646759,144358298.22876716,74006490.08377984,58,200,4750
2023,0.24203789727434796,energy,low_vres,0.2850153927097058,140869527.8525191,71145193.21539237,70,221,4400
2015,0.2093541969572769,persistence,cold_cop_hours,0.30207427335226034,142254668.96349326,72191126.79916728,54,178,4670
2020,0.1549412775081398,persistence,cold_cop_hours,0.2958712940939632,141042901.4552152,71259106.94090222,63,161,4625
2019,0.13236715577821145,energy,low_vres,0.30098789871153125,140303383.36165458,70638179.07700232,46,120,4441
